Time,Track ID,Status
1,,Running
5,,Running
12,,Running
15,,Running
19,,Running
20,,Running
23,,Running
1,,Running
1,,Loitering
1,,Running
9,,Running
10,,Running
13,,Running
16,,Running
18,,Running
22,,Running
23,,Running
12,,Running
24,,Running
32,,Running
35,,Running
36,,Running
41,,Running
43,,Running
44,,Running
45,,Running
47,,Running
48,,Running
49,,Running
51,,Running
55,,Running
59,,Running
62,,Running
64,,Running
65,,Running
72,,Running
81,,Running
83,,Running
85,,Running
89,,Running
90,,Running
101,,Running
112,,Running
113,,Running
119,,Running
121,,Running
131,,Running
132,,Running
138,,Running
141,,Running
148,,Running
149,,Running
139,,Running
137,,Running
153,,Running
160,,Running
161,,Running
143,,Running
169,,Running
178,,Running
180,,Running
181,,Running
183,,Running
189,,Running
190,,Running
191,,Running
193,,Running
194,,Running
196,,Running
204,,Running
206,,Running
207,,Running
210,,Running
219,,Running
222,,Running
223,,Running
225,,Running
226,,Running
228,,Running
224,,Running
229,,Running
237,,Running
238,,Running
234,,Running
241,,Running
245,,Running
246,,Running
249,,Running
250,,Running
254,,Running
1,,Running
1,,Loitering
1,,Running
3,,Running
4,,Running
5,,Running
20,,Running
23,,Running
29,,Running
34,,Running
38,,Running
46,,Running
47,,Running
52,,Running
55,,Running
57,,Running
58,,Running
60,,Running
62,,Running
66,,Loitering
65,,Running
68,,Running
88,,Running
91,,Running
70,,Running
122,,Running
152,,Running
161,,Running
168,,Running
167,,Running
179,,Running
163,,Running
189,,Running
170,,Running
164,,Running
162,,Running
208,,Running
220,,Running
219,,Running
